order_id,ordered_at,customer_id,country,product,quantity,unit_price,total_usd,discount,status,is_gift
100001,2026-01-24T21:01:00+00:00,C-0960,FR,portable ssd,1,59.76,59.76,0.2,processing,False
100002,2026-02-18T23:07:00+00:00,C-0266,BR,desk mat,1,33.84,33.84,0.11,shipped,True
100003,2026-03-11T08:48:00+00:00,C-1155,AU,webcam,1,19.54,19.54,,shipped,False
100004,2026-02-02T05:11:00+00:00,C-0463,DE,ergonomic mouse,1,211.98,211.98,,delivered,False
100005,2026-02-17T21:42:00+00:00,C-1174,GB,monitor arm,1,67.26,67.26,0.28,delivered,False
100006,2026-05-30T18:15:00+00:00,C-0038,DE,mechanical keyboard,2,243.54,487.08,,delivered,False
100007,2026-05-17T00:49:00+00:00,C-0878,DE,desk mat,1,151.73,151.73,0.12,processing,False
100008,2026-05-03T16:43:00+00:00,C-0440,BR,monitor arm,1,248.99,248.99,,delivered,False
100009,2026-05-08T20:30:00+00:00,C-0064,IN,hdmi cable,3,114.77,344.31,,delivered,False
100010,2026-03-28T08:40:00+00:00,C-0848,CA,laptop stand,1,102.38,102.38,,delivered,False
100011,2026-06-18T20:09:00+00:00,C-0289,BR,hdmi cable,2,152.78,305.56,,delivered,False
100012,2026-03-28T05:01:00+00:00,C-1104,AU,ergonomic mouse,1,52,52,,delivered,False
100013,2026-03-31T20:13:00+00:00,C-0640,DE,mechanical keyboard,1,171.78,171.78,,delivered,False
100014,2026-06-02T20:49:00+00:00,C-0400,CA,noise-cancelling headphones,2,52.9,105.8,0.08,shipped,False
100015,2026-01-19T04:29:00+00:00,C-0101,IN,hdmi cable,1,187.38,187.38,0.21,processing,False
100016,2026-03-01T18:51:00+00:00,C-0571,CA,portable ssd,1,127.31,127.31,,delivered,False
100017,2026-05-08T12:19:00+00:00,C-0086,US,noise-cancelling headphones,2,36.84,73.68,,delivered,False
100018,2026-03-14T04:47:00+00:00,C-0625,US,monitor arm,1,231.57,231.57,,delivered,False
100019,2026-06-11T22:05:00+00:00,C-0716,DE,laptop stand,1,52.99,52.99,,delivered,False
100020,2026-01-12T17:53:00+00:00,C-0666,CA,monitor arm,1,62.06,62.06,,delivered,False
100021,2026-01-23T21:49:00+00:00,C-0562,GB,monitor arm,1,32.67,32.67,,delivered,False
100022,2026-02-06T20:55:00+00:00,C-0885,BR,monitor arm,1,131.28,131.28,0.07,processing,False
100023,2026-05-26T18:51:00+00:00,C-0479,BR,desk mat,1,234.81,234.81,,delivered,False
100024,2026-04-01T13:23:00+00:00,C-0818,IN,portable ssd,1,215.06,215.06,0.27,delivered,False
100025,2026-03-24T02:37:00+00:00,C-0772,CA,noise-cancelling headphones,1,39.11,39.11,0.26,shipped,False
100026,2026-06-06T05:11:00+00:00,C-0643,BR,portable ssd,2,36.22,72.44,,delivered,False
100027,2026-06-19T17:30:00+00:00,C-0489,JP,mechanical keyboard,1,223.64,223.64,,cancelled,False
100028,2026-02-26T08:14:00+00:00,C-0818,DE,desk mat,1,236.37,236.37,0.26,cancelled,False
100029,2026-06-22T23:34:00+00:00,C-0103,NL,hdmi cable,1,248.22,248.22,,shipped,False
100030,2026-06-22T00:08:00+00:00,C-0253,CA,hdmi cable,1,15.31,15.31,,delivered,False
100031,2026-03-04T12:48:00+00:00,C-0836,AU,noise-cancelling headphones,1,171.01,171.01,,processing,False
100032,2026-03-21T12:43:00+00:00,C-1038,FR,desk mat,3,117.24,351.72,0.2,delivered,True
100033,2026-01-26T15:43:00+00:00,C-0889,BR,monitor arm,1,224.16,224.16,,delivered,False
100034,2026-05-30T13:37:00+00:00,C-0212,JP,hdmi cable,2,27.17,54.34,,shipped,False
100035,2026-05-01T19:50:00+00:00,C-0492,AU,webcam,1,184.24,184.24,0.26,processing,False
100036,2026-04-19T15:37:00+00:00,C-0972,IN,hdmi cable,1,153.8,153.8,0.16,delivered,False
100037,2026-01-31T00:47:00+00:00,C-0952,JP,desk mat,1,32.88,32.88,0.17,delivered,False
100038,2026-03-12T23:11:00+00:00,C-1194,GB,mechanical keyboard,1,203.81,203.81,,delivered,False
100039,2026-03-17T01:53:00+00:00,C-0797,DE,usb-c dock,1,63.58,63.58,,delivered,False
100040,2026-03-01T20:51:00+00:00,C-1117,IN,webcam,1,33.57,33.57,,delivered,False
100041,2026-02-03T16:22:00+00:00,C-0686,GB,hdmi cable,1,51.15,51.15,,delivered,False
100042,2026-06-24T23:41:00+00:00,C-0192,NL,hdmi cable,2,113.3,226.6,,delivered,False
100043,2026-02-18T05:46:00+00:00,C-0858,US,monitor arm,1,38.34,38.34,,delivered,False
100044,2026-02-26T17:17:00+00:00,C-0024,BR,hdmi cable,1,172.72,172.72,0.2,delivered,False
100045,2026-03-17T14:34:00+00:00,C-0482,GB,usb-c dock,1,34.14,34.14,,delivered,False
100046,2026-02-11T09:24:00+00:00,C-0852,BR,usb-c dock,1,101.01,101.01,,delivered,False
100047,2026-03-30T21:53:00+00:00,C-0975,US,mechanical keyboard,4,37.63,150.52,0.22,processing,False
100048,2026-03-06T06:57:00+00:00,C-1106,AU,usb-c dock,1,165,165,,delivered,False
100049,2026-04-11T13:01:00+00:00,C-0326,AU,portable ssd,1,45.33,45.33,0.13,delivered,False
100050,2026-04-21T04:05:00+00:00,C-0668,IN,usb-c dock,2,212.29,424.58,,delivered,False
100051,2026-04-24T21:38:00+00:00,C-0996,FR,laptop stand,1,119.71,119.71,,shipped,False
100052,2026-02-14T03:56:00+00:00,C-0471,BR,portable ssd,1,101.03,101.03,,shipped,False
100053,2026-06-11T01:50:00+00:00,C-0523,JP,hdmi cable,1,118.68,118.68,,shipped,False
100054,2026-02-17T14:43:00+00:00,C-0941,AU,hdmi cable,4,171.88,687.52,,delivered,True
100055,2026-01-24T14:00:00+00:00,C-0436,GB,noise-cancelling headphones,1,166.69,166.69,,delivered,False
100056,2026-01-19T10:15:00+00:00,C-0447,AU,portable ssd,1,75.97,75.97,,processing,False
100057,2026-05-17T10:08:00+00:00,C-0356,AU,mechanical keyboard,1,241.83,241.83,,delivered,False
100058,2026-02-12T13:37:00+00:00,C-0011,AU,noise-cancelling headphones,1,150.09,150.09,0.29,delivered,False
100059,2026-06-09T09:02:00+00:00,C-0207,US,desk mat,1,120.56,120.56,,delivered,False
100060,2026-03-26T06:53:00+00:00,C-0962,GB,desk mat,1,193.64,193.64,,delivered,False
100061,2026-05-11T23:17:00+00:00,C-0573,JP,webcam,1,135.2,135.2,,delivered,False
100062,2026-04-23T01:30:00+00:00,C-0349,IN,monitor arm,1,176.63,176.63,,delivered,False
100063,2026-05-03T03:55:00+00:00,C-0825,US,mechanical keyboard,1,43.22,43.22,,delivered,False
100064,2026-02-03T18:10:00+00:00,C-1045,US,noise-cancelling headphones,4,206.29,825.16,0.29,shipped,False
100065,2026-03-01T11:10:00+00:00,C-0057,JP,ergonomic mouse,1,61.35,61.35,,shipped,False
100066,2026-03-31T22:07:00+00:00,C-0587,CA,ergonomic mouse,1,97.85,97.85,,delivered,False
100067,2026-02-21T22:26:00+00:00,C-0743,BR,portable ssd,1,117.69,117.69,0.07,delivered,False
100068,2026-05-10T02:26:00+00:00,C-1051,US,webcam,1,24.06,24.06,,delivered,False
100069,2026-03-15T06:26:00+00:00,C-0340,CA,hdmi cable,2,243.91,487.82,,cancelled,False
100070,2026-03-24T11:12:00+00:00,C-0544,DE,ergonomic mouse,1,161.82,161.82,,delivered,False
100071,2026-04-06T14:44:00+00:00,C-0017,IN,monitor arm,2,62.42,124.84,,returned,False
100072,2026-05-13T22:11:00+00:00,C-0059,BR,desk mat,2,32.12,64.24,,delivered,False
100073,2026-02-06T00:30:00+00:00,C-0942,DE,laptop stand,1,188.84,188.84,0.06,delivered,True
100074,2026-01-01T04:23:00+00:00,C-0443,FR,monitor arm,1,169.61,169.61,,processing,True
100075,2026-04-28T09:34:00+00:00,C-0417,GB,desk mat,1,48.39,48.39,,processing,False
100076,2026-04-25T04:45:00+00:00,C-0533,US,portable ssd,1,28.15,28.15,,delivered,False
100077,2026-01-20T11:36:00+00:00,C-0381,AU,monitor arm,1,188.34,188.34,,shipped,False
100078,2026-05-27T20:56:00+00:00,C-1131,NL,webcam,1,240.82,240.82,0.27,shipped,False
100079,2026-03-01T12:37:00+00:00,C-1031,DE,noise-cancelling headphones,2,40.64,81.28,,delivered,False
100080,2026-04-03T07:41:00+00:00,C-0422,US,noise-cancelling headphones,2,225.46,450.92,,delivered,False
100081,2026-02-08T17:39:00+00:00,C-0391,US,desk mat,1,131.18,131.18,0.16,delivered,False
100082,2026-06-14T20:05:00+00:00,C-1191,AU,webcam,1,171.57,171.57,,cancelled,False
100083,2026-06-29T13:27:00+00:00,C-0810,IN,usb-c dock,4,101.94,407.76,,delivered,False
100084,2026-01-15T09:18:00+00:00,C-0568,BR,webcam,1,222.89,222.89,,delivered,False
100085,2026-03-25T13:13:00+00:00,C-1033,AU,usb-c dock,1,103.17,103.17,,delivered,False
100086,2026-02-12T00:35:00+00:00,C-0803,FR,laptop stand,1,54.41,54.41,,shipped,False
100087,2026-04-05T12:19:00+00:00,C-0305,BR,usb-c dock,3,118.94,356.82,,shipped,False
100088,2026-06-17T12:44:00+00:00,C-0505,CA,mechanical keyboard,2,58.34,116.68,0.28,delivered,False
100089,2026-04-12T23:49:00+00:00,C-1169,GB,ergonomic mouse,1,44.12,44.12,,shipped,False
100090,2026-06-03T03:22:00+00:00,C-0255,US,hdmi cable,1,12.45,12.45,,delivered,False
100091,2026-05-13T07:53:00+00:00,C-0147,CA,portable ssd,1,152.2,152.2,,delivered,False
100092,2026-04-03T09:38:00+00:00,C-0704,DE,hdmi cable,1,75.1,75.1,,delivered,False
100093,2026-05-14T18:30:00+00:00,C-0163,US,laptop stand,1,183.73,183.73,,returned,True
100094,2026-05-02T03:48:00+00:00,C-0697,BR,hdmi cable,1,39.21,39.21,,returned,False
100095,2026-02-27T07:28:00+00:00,C-0838,IN,monitor arm,1,91.64,91.64,,shipped,False
100096,2026-04-13T06:25:00+00:00,C-0410,GB,noise-cancelling headphones,2,189.29,378.58,,delivered,False
100097,2026-01-24T13:11:00+00:00,C-0048,GB,laptop stand,1,212.32,212.32,,processing,False
100098,2026-03-20T10:06:00+00:00,C-0105,CA,portable ssd,2,28.26,56.52,,delivered,True
100099,2026-02-10T22:07:00+00:00,C-0219,US,mechanical keyboard,1,117.82,117.82,,delivered,False
100100,2026-01-07T23:43:00+00:00,C-1029,NL,webcam,1,131.85,131.85,,delivered,False
100101,2026-04-10T05:56:00+00:00,C-1118,FR,usb-c dock,2,57.36,114.72,,delivered,False
100102,2026-04-07T10:34:00+00:00,C-0824,NL,usb-c dock,1,230.48,230.48,,delivered,False
100103,2026-05-14T06:28:00+00:00,C-0942,AU,hdmi cable,1,64.32,64.32,0.09,processing,False
100104,2026-04-10T17:45:00+00:00,C-0349,BR,monitor arm,1,233.02,233.02,,delivered,False
100105,2026-01-02T22:36:00+00:00,C-0504,JP,desk mat,2,216.4,432.8,,delivered,False
100106,2026-01-17T19:20:00+00:00,C-0845,FR,hdmi cable,1,141.08,141.08,,shipped,False
100107,2026-03-12T08:01:00+00:00,C-0555,CA,portable ssd,1,166.76,166.76,,delivered,False
100108,2026-06-16T10:22:00+00:00,C-0892,GB,usb-c dock,1,45.47,45.47,,delivered,False
100109,2026-03-30T21:48:00+00:00,C-1040,US,webcam,1,175.04,175.04,0.06,delivered,False
100110,2026-02-06T17:17:00+00:00,C-0412,NL,usb-c dock,1,14.34,14.34,,delivered,False
100111,2026-05-18T20:13:00+00:00,C-0755,FR,webcam,1,151.98,151.98,0.17,delivered,False
100112,2026-06-25T03:33:00+00:00,C-0290,AU,noise-cancelling headphones,1,198.7,198.7,0.25,delivered,False
100113,2026-06-15T11:57:00+00:00,C-0397,NL,ergonomic mouse,1,34.87,34.87,,delivered,False
100114,2026-06-10T16:50:00+00:00,C-0893,IN,portable ssd,1,103.37,103.37,,delivered,False
100115,2026-03-17T12:06:00+00:00,C-1009,GB,usb-c dock,1,75.23,75.23,,delivered,False
100116,2026-05-30T07:38:00+00:00,C-0818,GB,laptop stand,1,88.04,88.04,0.23,delivered,False
100117,2026-02-09T19:36:00+00:00,C-1072,CA,mechanical keyboard,2,32.48,64.96,,processing,False
100118,2026-04-30T18:22:00+00:00,C-0107,CA,desk mat,1,122.18,122.18,,processing,False
100119,2026-03-20T22:24:00+00:00,C-0452,NL,noise-cancelling headphones,1,36.14,36.14,0.29,cancelled,False
100120,2026-06-25T22:10:00+00:00,C-0598,NL,webcam,1,55.94,55.94,,delivered,False
100121,2026-03-22T06:52:00+00:00,C-0469,JP,mechanical keyboard,1,199.34,199.34,,processing,False
100122,2026-02-14T09:06:00+00:00,C-0715,DE,hdmi cable,1,25.81,25.81,,delivered,False
100123,2026-03-23T11:32:00+00:00,C-0198,BR,usb-c dock,1,53.43,53.43,0.1,cancelled,False
100124,2026-06-28T14:29:00+00:00,C-0464,US,desk mat,2,79.23,158.46,,delivered,False
100125,2026-05-04T21:56:00+00:00,C-0965,DE,mechanical keyboard,2,249.16,498.32,,delivered,False
100126,2026-02-12T07:40:00+00:00,C-0004,US,laptop stand,1,210.4,210.4,0.25,delivered,False
100127,2026-02-10T20:17:00+00:00,C-0370,US,ergonomic mouse,1,171.47,171.47,,delivered,False
100128,2026-05-24T03:02:00+00:00,C-0637,FR,laptop stand,1,203.79,203.79,,delivered,False
100129,2026-01-02T03:12:00+00:00,C-0610,CA,noise-cancelling headphones,1,28.38,28.38,,delivered,False
100130,2026-01-05T02:58:00+00:00,C-0138,DE,hdmi cable,2,94.13,188.26,,delivered,True
100131,2026-03-09T05:06:00+00:00,C-1057,NL,portable ssd,1,78.9,78.9,,delivered,False
100132,2026-01-20T22:45:00+00:00,C-0750,AU,webcam,1,24.4,24.4,,processing,False
100133,2026-02-28T18:21:00+00:00,C-1116,CA,hdmi cable,1,101.64,101.64,,processing,False
100134,2026-04-25T05:13:00+00:00,C-0353,JP,monitor arm,1,131.94,131.94,,cancelled,False
100135,2026-05-03T06:23:00+00:00,C-0843,AU,noise-cancelling headphones,3,81.92,245.76,,delivered,False
100136,2026-03-04T22:45:00+00:00,C-0680,US,noise-cancelling headphones,1,145.43,145.43,,delivered,False
100137,2026-01-17T09:48:00+00:00,C-1031,GB,desk mat,1,249.09,249.09,,delivered,False
100138,2026-06-14T19:34:00+00:00,C-0286,BR,desk mat,3,30.02,90.06,,delivered,False
100139,2026-01-19T19:01:00+00:00,C-0950,FR,webcam,1,245.6,245.6,,cancelled,False
100140,2026-02-01T07:47:00+00:00,C-0038,AU,mechanical keyboard,1,176.77,176.77,,processing,False
100141,2026-04-26T03:07:00+00:00,C-1152,FR,laptop stand,1,14.89,14.89,,processing,False
100142,2026-03-15T13:05:00+00:00,C-1003,GB,webcam,2,123.74,247.48,,shipped,False
100143,2026-02-11T20:13:00+00:00,C-0869,JP,hdmi cable,1,240.76,240.76,0.28,processing,False
100144,2026-02-07T12:59:00+00:00,C-0301,DE,webcam,2,239.97,479.94,,delivered,False
100145,2026-03-28T20:07:00+00:00,C-0883,FR,noise-cancelling headphones,1,101.32,101.32,,delivered,True
100146,2026-05-20T21:34:00+00:00,C-0524,US,desk mat,1,240.1,240.1,,shipped,False
100147,2026-01-28T17:30:00+00:00,C-1130,FR,ergonomic mouse,1,82.05,82.05,0.16,delivered,False
100148,2026-05-05T12:32:00+00:00,C-0311,FR,usb-c dock,1,200.18,200.18,,shipped,False
100149,2026-04-08T16:39:00+00:00,C-0116,IN,portable ssd,1,239.3,239.3,,delivered,False
100150,2026-02-27T10:08:00+00:00,C-0216,AU,noise-cancelling headphones,1,117.24,117.24,,delivered,False
100151,2026-03-15T22:05:00+00:00,C-0854,DE,noise-cancelling headphones,4,41.37,165.48,,delivered,False
100152,2026-05-14T17:48:00+00:00,C-0861,US,monitor arm,1,33.52,33.52,0.08,delivered,False
100153,2026-04-24T00:53:00+00:00,C-0810,AU,monitor arm,1,231.14,231.14,0.23,returned,False
100154,2026-05-02T21:11:00+00:00,C-0565,GB,desk mat,3,193.19,579.57,,delivered,False
100155,2026-01-14T05:14:00+00:00,C-0250,AU,noise-cancelling headphones,1,90.4,90.4,,processing,False
100156,2026-04-16T03:22:00+00:00,C-1011,BR,webcam,1,124.64,124.64,,delivered,True
100157,2026-02-01T07:35:00+00:00,C-0703,JP,monitor arm,1,125.82,125.82,0.11,cancelled,False
100158,2026-03-05T17:08:00+00:00,C-0239,IN,monitor arm,2,144.98,289.96,,shipped,False
100159,2026-04-07T17:49:00+00:00,C-0109,BR,ergonomic mouse,1,33.85,33.85,0.15,delivered,False
100160,2026-05-20T13:32:00+00:00,C-1042,FR,noise-cancelling headphones,2,220.07,440.14,,delivered,False
100161,2026-02-17T11:40:00+00:00,C-1101,NL,laptop stand,3,170.5,511.5,,delivered,False
100162,2026-04-12T11:07:00+00:00,C-0950,JP,desk mat,1,217.95,217.95,0.23,processing,False
100163,2026-01-14T08:21:00+00:00,C-0899,BR,mechanical keyboard,1,25.66,25.66,0.06,delivered,False
100164,2026-02-21T23:35:00+00:00,C-0991,US,ergonomic mouse,1,144.79,144.79,,delivered,False
100165,2026-06-05T17:05:00+00:00,C-0272,US,desk mat,1,97.8,97.8,,delivered,False
100166,2026-04-12T19:59:00+00:00,C-0678,IN,portable ssd,2,81.45,162.90,0.23,delivered,False
100167,2026-02-08T16:18:00+00:00,C-0874,AU,mechanical keyboard,1,103.84,103.84,,delivered,False
100168,2026-03-14T14:10:00+00:00,C-0624,BR,desk mat,1,46.21,46.21,0.07,processing,False
100169,2026-01-08T00:13:00+00:00,C-0637,CA,ergonomic mouse,1,181.32,181.32,0.05,delivered,False
100170,2026-03-14T22:15:00+00:00,C-0683,US,ergonomic mouse,1,180.16,180.16,,delivered,False
100171,2026-06-10T09:25:00+00:00,C-0922,GB,portable ssd,2,71.12,142.24,0.13,delivered,False
100172,2026-05-09T23:18:00+00:00,C-1127,DE,monitor arm,1,39.26,39.26,,delivered,False
100173,2026-02-22T03:45:00+00:00,C-0261,BR,monitor arm,1,182.5,182.5,,processing,False
100174,2026-05-16T14:06:00+00:00,C-0176,BR,laptop stand,1,134.42,134.42,,shipped,False
100175,2026-06-26T23:40:00+00:00,C-0889,DE,webcam,4,17.95,71.80,,processing,False
100176,2026-02-08T14:43:00+00:00,C-0503,JP,desk mat,1,67.15,67.15,0.18,delivered,True
100177,2026-02-24T01:04:00+00:00,C-0829,DE,ergonomic mouse,1,46.36,46.36,,delivered,False
100178,2026-05-08T11:22:00+00:00,C-0405,DE,laptop stand,1,227.91,227.91,0.16,returned,False
100179,2026-06-05T15:40:00+00:00,C-0079,IN,hdmi cable,1,215.4,215.4,,processing,False
100180,2026-03-03T14:51:00+00:00,C-0687,GB,laptop stand,2,139.11,278.22,,delivered,True
100181,2026-05-26T17:44:00+00:00,C-1046,IN,portable ssd,1,183.66,183.66,,processing,False
100182,2026-02-16T04:58:00+00:00,C-0818,CA,webcam,1,99.37,99.37,0.09,delivered,True
100183,2026-02-16T17:04:00+00:00,C-0144,DE,portable ssd,2,208.58,417.16,,delivered,False
100184,2026-04-20T06:50:00+00:00,C-0229,NL,hdmi cable,2,245.17,490.34,,processing,False
100185,2026-03-08T20:22:00+00:00,C-0153,BR,desk mat,1,161.75,161.75,,delivered,False
100186,2026-06-13T19:27:00+00:00,C-1004,NL,mechanical keyboard,3,129.81,389.43,0.12,delivered,False
100187,2026-05-18T00:08:00+00:00,C-1118,CA,noise-cancelling headphones,3,147.55,442.65,,shipped,False
100188,2026-04-06T00:29:00+00:00,C-0279,IN,monitor arm,1,145.23,145.23,,delivered,False
100189,2026-05-14T20:55:00+00:00,C-0606,US,webcam,1,18.11,18.11,0.26,delivered,False
100190,2026-06-08T19:27:00+00:00,C-0587,CA,webcam,1,146.36,146.36,0.25,delivered,False
100191,2026-02-05T18:53:00+00:00,C-0353,BR,desk mat,2,32.3,64.6,,shipped,False
100192,2026-03-05T19:41:00+00:00,C-1109,FR,noise-cancelling headphones,2,10.86,21.72,,shipped,False
100193,2026-03-25T09:29:00+00:00,C-0239,DE,portable ssd,2,152.09,304.18,,returned,False
100194,2026-02-01T22:26:00+00:00,C-0226,FR,laptop stand,1,63.66,63.66,,delivered,False
100195,2026-03-25T04:00:00+00:00,C-0006,IN,desk mat,1,48.31,48.31,,shipped,True
100196,2026-01-04T06:46:00+00:00,C-1048,IN,webcam,1,249.28,249.28,0.14,returned,False
100197,2026-04-17T23:10:00+00:00,C-0088,JP,laptop stand,3,15.44,46.32,,delivered,False
100198,2026-06-29T04:01:00+00:00,C-0480,AU,noise-cancelling headphones,1,143.49,143.49,,returned,False
100199,2026-03-23T01:14:00+00:00,C-0378,NL,mechanical keyboard,1,153.77,153.77,,delivered,True
100200,2026-03-18T03:14:00+00:00,C-0189,CA,mechanical keyboard,1,92.1,92.1,,delivered,False
100201,2026-05-16T22:48:00+00:00,C-1189,GB,mechanical keyboard,2,87.13,174.26,0.09,shipped,False
100202,2026-01-26T01:19:00+00:00,C-0896,GB,noise-cancelling headphones,1,196.85,196.85,,delivered,False
100203,2026-04-25T02:58:00+00:00,C-0538,CA,usb-c dock,1,74.31,74.31,,delivered,False
100204,2026-03-13T12:07:00+00:00,C-0634,FR,ergonomic mouse,1,34.19,34.19,,delivered,False
100205,2026-01-30T10:58:00+00:00,C-0239,AU,mechanical keyboard,1,57.95,57.95,0.18,shipped,False
100206,2026-02-04T20:54:00+00:00,C-0240,DE,mechanical keyboard,1,220.37,220.37,0.05,delivered,False
100207,2026-04-26T01:53:00+00:00,C-1075,DE,usb-c dock,3,138.33,414.99,,delivered,False
100208,2026-01-26T07:11:00+00:00,C-0194,CA,hdmi cable,2,33.94,67.88,,delivered,False
100209,2026-04-27T23:12:00+00:00,C-0166,CA,laptop stand,1,173.93,173.93,,delivered,False
100210,2026-05-06T03:54:00+00:00,C-0490,NL,laptop stand,1,12.7,12.7,,processing,False
100211,2026-04-25T03:12:00+00:00,C-0967,GB,ergonomic mouse,1,98.99,98.99,,delivered,False
100212,2026-02-17T11:18:00+00:00,C-0172,US,desk mat,4,69.55,278.20,,delivered,True
100213,2026-04-20T04:05:00+00:00,C-0096,GB,hdmi cable,1,212.25,212.25,,shipped,False
100214,2026-03-27T03:54:00+00:00,C-0733,DE,webcam,1,235.48,235.48,,returned,False
100215,2026-02-28T01:50:00+00:00,C-0863,GB,desk mat,1,147.69,147.69,,delivered,False
100216,2026-01-12T15:00:00+00:00,C-0213,AU,noise-cancelling headphones,1,97.13,97.13,,processing,False
100217,2026-05-13T12:47:00+00:00,C-0868,DE,mechanical keyboard,1,162.35,162.35,0.14,shipped,False
100218,2026-04-16T07:04:00+00:00,C-1069,GB,webcam,1,132.67,132.67,,delivered,False
100219,2026-03-22T18:56:00+00:00,C-0172,AU,portable ssd,1,171.68,171.68,,processing,False
100220,2026-06-12T15:56:00+00:00,C-0757,JP,webcam,1,11.02,11.02,,returned,False
100221,2026-06-28T20:17:00+00:00,C-0897,CA,noise-cancelling headphones,1,150.12,150.12,,delivered,False
100222,2026-01-10T22:30:00+00:00,C-0790,CA,noise-cancelling headphones,1,146.57,146.57,,processing,False
100223,2026-02-08T13:31:00+00:00,C-0449,US,monitor arm,1,119.05,119.05,,delivered,False
100224,2026-05-10T15:23:00+00:00,C-0537,CA,ergonomic mouse,1,227.28,227.28,,processing,False
100225,2026-02-27T17:08:00+00:00,C-0153,BR,usb-c dock,1,44.85,44.85,,shipped,False
100226,2026-01-19T06:51:00+00:00,C-0167,IN,webcam,1,243,243,,shipped,False
100227,2026-05-02T19:56:00+00:00,C-0109,US,noise-cancelling headphones,1,150.4,150.4,,processing,False
100228,2026-02-27T15:45:00+00:00,C-0385,CA,portable ssd,2,28.41,56.82,,delivered,False
100229,2026-01-04T12:20:00+00:00,C-0036,GB,portable ssd,3,109.56,328.68,,cancelled,False
100230,2026-03-17T04:19:00+00:00,C-0961,AU,noise-cancelling headphones,2,150.67,301.34,,delivered,False
100231,2026-03-09T13:41:00+00:00,C-1015,IN,ergonomic mouse,1,176.45,176.45,,delivered,False
100232,2026-03-12T14:24:00+00:00,C-0398,IN,portable ssd,4,133.61,534.44,,delivered,False
100233,2026-04-26T17:46:00+00:00,C-0081,FR,webcam,3,174.98,524.94,,delivered,False
100234,2026-05-19T01:21:00+00:00,C-0023,IN,desk mat,3,31.31,93.93,,returned,False
100235,2026-06-16T11:16:00+00:00,C-1030,FR,hdmi cable,2,176.09,352.18,,shipped,False
100236,2026-01-17T01:38:00+00:00,C-1191,CA,mechanical keyboard,1,114.28,114.28,,delivered,False
100237,2026-04-29T07:42:00+00:00,C-0468,GB,mechanical keyboard,1,194.57,194.57,0.07,delivered,False
100238,2026-04-08T23:56:00+00:00,C-0554,FR,mechanical keyboard,2,66.7,133.4,,delivered,False
100239,2026-06-22T10:36:00+00:00,C-0084,IN,usb-c dock,1,215.9,215.9,,returned,False
100240,2026-02-25T16:50:00+00:00,C-0807,BR,monitor arm,2,69.22,138.44,0.07,returned,True
100241,2026-04-12T01:16:00+00:00,C-1039,DE,webcam,1,196.37,196.37,0.08,delivered,False
100242,2026-03-02T18:03:00+00:00,C-0007,GB,webcam,1,241.17,241.17,0.18,delivered,False
100243,2026-05-09T01:49:00+00:00,C-1071,US,noise-cancelling headphones,1,182.95,182.95,0.11,processing,False
100244,2026-03-10T03:33:00+00:00,C-0233,IN,noise-cancelling headphones,3,130.58,391.74,,returned,False
100245,2026-01-19T19:19:00+00:00,C-0408,FR,noise-cancelling headphones,1,193.89,193.89,,shipped,False
100246,2026-03-31T13:31:00+00:00,C-0776,AU,usb-c dock,1,163.95,163.95,,delivered,False
100247,2026-01-29T15:08:00+00:00,C-0447,JP,desk mat,1,173.35,173.35,0.26,delivered,False
100248,2026-05-04T14:08:00+00:00,C-1105,CA,ergonomic mouse,3,116.38,349.14,,processing,False
